IF2006.CFE,,,,,,
time,open,high,low,close,volume,oi
2020/6/3 14:00,3973,3975.4,3972.4,3974.6,296,87500
2020/6/3 14:01,3975,3975,3973.2,3974.4,204,87591
2020/6/3 14:02,3974.4,3975.2,3973.2,3975,242,87613
2020/6/3 14:03,3975,3976.6,3974.2,3975.4,388,87718
2020/6/3 14:04,3975.4,3975.4,3972.4,3973.4,282,87817
2020/6/3 14:05,3973.4,3973.4,3971.6,3972.4,185,87863
2020/6/3 14:06,3972.2,3972.2,3970.6,3971.2,166,87903
2020/6/3 14:07,3970.8,3970.8,3968.4,3968.6,302,88026
2020/6/3 14:08,3968.6,3970,3968.6,3968.8,146,88081
2020/6/3 14:09,3969.4,3969.6,3968,3968.4,281,88238
2020/6/3 14:10,3968.4,3970.8,3968,3969.8,167,88323
2020/6/3 14:11,3969.8,3970.6,3969,3969.4,141,88394
2020/6/3 14:12,3969.4,3969.4,3967,3967,182,88451
2020/6/3 14:13,3966.8,3969.4,3966.4,3969.4,185,88501
2020/6/3 14:14,3969.4,3970.6,3969.2,3970,101,88524
2020/6/3 14:15,3969.2,3970.6,3968.8,3969.2,114,88573
2020/6/3 14:16,3969,3970,3967.6,3967.8,173,88613
2020/6/3 14:17,3968.6,3968.6,3967.2,3967.2,200,88684
2020/6/3 14:18,3967.2,3968.6,3966.8,3966.8,122,88719
2020/6/3 14:19,3967.2,3967.4,3963.4,3964.4,477,88851
2020/6/3 14:20,3964,3964.2,3962.8,3963,417,88979
2020/6/3 14:21,3962.8,3962.8,3960,3960.2,639,89206
2020/6/3 14:22,3960.2,3961.6,3959.6,3960.6,388,89351
2020/6/3 14:23,3960.6,3961,3958.8,3960,383,89472
2020/6/3 14:24,3959.8,3961.4,3959.4,3960.2,294,89605
2020/6/3 14:25,3960.6,3960.8,3958.8,3959.2,342,89744
2020/6/3 14:26,3958.8,3960,3958.4,3959.2,253,89806
2020/6/3 14:27,3959,3961,3958.6,3960,302,89881
2020/6/3 14:28,3960,3960.4,3959,3959.2,274,89942
2020/6/3 14:29,3959,3959.6,3957.8,3957.8,507,90085
2020/6/3 14:30,3957.6,3958.8,3956.2,3956.4,621,90118
2020/6/3 14:31,3956.4,3956.6,3953.6,3954.2,745,90297
2020/6/3 14:32,3954.2,3958,3953.2,3958,654,90451
2020/6/3 14:33,3958,3959.8,3957.6,3959.8,361,90527
2020/6/3 14:34,3959.8,3960,3957.8,3959.2,248,90603
2020/6/3 14:35,3959,3962.4,3959,3961.8,603,90836
2020/6/3 14:36,3962,3963.4,3961.2,3961.2,395,90989
2020/6/3 14:37,3961.2,3961.2,3958.8,3958.8,230,91066
2020/6/3 14:38,3959.2,3959.8,3958.2,3958.6,175,91111
2020/6/3 14:39,3958.6,3959.6,3958.2,3958.6,177,91149
2020/6/3 14:40,3958.6,3961.2,3958.2,3961.2,216,91241
2020/6/3 14:41,3961.2,3962.2,3960.2,3961.6,213,91344
2020/6/3 14:42,3961.6,3963.2,3961.2,3962.2,325,91445
2020/6/3 14:43,3962.2,3962.8,3961,3961.2,190,91530
2020/6/3 14:44,3961.2,3962,3960.8,3962,140,91601
2020/6/3 14:45,3962.2,3962.4,3960.8,3961.2,205,91720
2020/6/3 14:46,3961.6,3961.6,3959,3959,203,91800
2020/6/3 14:47,3958.6,3959,3955.6,3955.6,333,91974
2020/6/3 14:48,3955.8,3957.2,3954.6,3956.8,411,92172
2020/6/3 14:49,3956.8,3956.8,3953.8,3954.4,274,92290
2020/6/3 14:50,3954.2,3957.2,3954.2,3956.2,337,92486
2020/6/3 14:51,3956.2,3957,3955.8,3956.6,194,92599
2020/6/3 14:52,3956.8,3957,3955.6,3956.2,203,92701
2020/6/3 14:53,3956.4,3956.4,3955.6,3956.2,295,92876
2020/6/3 14:54,3955.8,3956.4,3954.6,3955.2,275,92997
2020/6/3 14:55,3955.2,3956,3954.8,3955.6,398,93240
2020/6/3 14:56,3955.6,3956.4,3955.2,3955.8,274,93386
2020/6/3 14:57,3956.4,3956.4,3955.6,3955.6,482,93616
2020/6/3 14:58,3955.2,3955.6,3953.2,3953.2,547,93888
2020/6/3 14:59,3953.2,3953.8,3950.8,3951,736,94216
2020/6/3 15:00,3951,3951,3951,3951,0,94216
2020/6/4 9:30,3970,3972,3965.2,3967.2,1922,92977
2020/6/4 9:31,3966.8,3970,3965.8,3965.8,723,92490
2020/6/4 9:32,3965.8,3970.2,3965.2,3968,490,92152
2020/6/4 9:33,3968,3968,3962.4,3963.6,756,91622
2020/6/4 9:34,3963.6,3965,3961.2,3962.6,479,91330
2020/6/4 9:35,3963,3965.4,3960.6,3960.6,649,91034
2020/6/4 9:36,3960.6,3961.2,3958,3959.4,734,90755
2020/6/4 9:37,3959.6,3959.6,3956.6,3957.2,619,90461
2020/6/4 9:38,3957.4,3960,3957.2,3959.6,555,90302
2020/6/4 9:39,3959.2,3959.8,3956.6,3956.6,498,90102
2020/6/4 9:40,3957.2,3961,3956.2,3961,585,89897
2020/6/4 9:41,3961,3961,3958,3959.6,282,89733
2020/6/4 9:42,3959.2,3959.8,3956.8,3957.2,383,89558
2020/6/4 9:43,3957.2,3957.6,3953,3954.8,537,89272
2020/6/4 9:44,3954.6,3956.2,3953,3955,455,88978
2020/6/4 9:45,3954.8,3957,3953.8,3956.2,467,88736
2020/6/4 9:46,3956.8,3960,3955.6,3959.2,428,88515
2020/6/4 9:47,3958.4,3959,3956.6,3957,335,88296
2020/6/4 9:48,3957,3957.2,3954.4,3956.8,313,88153
2020/6/4 9:49,3956.2,3959.4,3955.8,3958.2,299,87982
2020/6/4 9:50,3957.8,3960,3957.6,3959.8,222,87873
2020/6/4 9:51,3960,3961,3958.2,3960.2,264,87742
